"","Estacao","Data","Hora","Precipitacao","TempMaxima","TempMinima","Insolacao","Evaporacao_Piche","Temp_Comp_Media","UR_Media","Vel_Vent_Media","NA"
"235",83309,"28/04/1961",1200,0,NA,22.7,NA,NA,NA,NA,NA,NA
"236",83309,"29/04/1961",0,NA,30.4,NA,NA,2.4,24.54,87.5,0.333333,NA
"237",83309,"29/04/1961",1200,49,NA,21.1,NA,NA,NA,NA,NA,NA
"238",83309,"30/04/1961",0,NA,33,NA,NA,1.8,25.92,80.25,0.333333,NA
"239",83309,"30/04/1961",1200,0.3,NA,21,NA,NA,NA,NA,NA,NA
"240",83309,"01/05/1961",0,NA,34,NA,NA,2.8,26.5,75.75,0.666667,NA
"241",83309,"01/05/1961",1200,0.2,NA,22.1,NA,NA,NA,NA,NA,NA
"242",83309,"02/05/1961",0,NA,31.8,NA,NA,3.7,25.88,88.25,0.333333,NA
"243",83309,"02/05/1961",1200,0,NA,22.2,NA,NA,NA,NA,NA,NA
"244",83309,"03/05/1961",0,NA,31,NA,NA,1.9,25.54,82.75,1.333333,NA
"245",83309,"03/05/1961",1200,1.5,NA,22.1,NA,NA,NA,NA,NA,NA
"246",83309,"04/05/1961",0,NA,30.4,NA,NA,2.6,24.32,86,0.666667,NA
"247",83309,"04/05/1961",1200,0,NA,21.4,NA,NA,NA,NA,NA,NA
"248",83309,"05/05/1961",0,NA,33.6,NA,NA,2,26.76,74.5,2.333333,NA
"249",83309,"05/05/1961",1200,0,NA,21.6,NA,NA,NA,NA,NA,NA
"250",83309,"06/05/1961",0,NA,32.6,NA,NA,3.4,26.5,78.25,2,NA
"251",83309,"06/05/1961",1200,0,NA,22,NA,NA,NA,NA,NA,NA
"252",83309,"07/05/1961",0,NA,32.2,NA,NA,2.8,24.9,90,1.666667,NA
"253",83309,"07/05/1961",1200,0,NA,21.5,NA,NA,NA,NA,NA,NA
"254",83309,"08/05/1961",0,NA,27.4,NA,NA,1.8,23.78,85.5,1.333333,NA
"255",83309,"08/05/1961",1200,55.8,NA,20.7,NA,NA,NA,NA,NA,NA
"256",83309,"09/05/1961",0,NA,32.4,NA,NA,1.7,24.74,82.5,0.666667,NA
"257",83309,"09/05/1961",1200,0,NA,20.5,NA,NA,NA,NA,NA,NA
"258",83309,"10/05/1961",0,NA,31,NA,NA,2.2,25.38,78.25,1,NA
"259",83309,"10/05/1961",1200,0,NA,20.7,NA,NA,NA,NA,NA,NA
"260",83309,"11/05/1961",0,NA,32.2,NA,NA,2.5,25.46,83.25,1.333333,NA
"261",83309,"11/05/1961",1200,0,NA,21.2,NA,NA,NA,NA,NA,NA
"262",83309,"12/05/1961",0,NA,31.7,NA,NA,2.7,24.64,90.5,0,NA
"263",83309,"12/05/1961",1200,20.4,NA,21.9,NA,NA,NA,NA,NA,NA
"264",83309,"13/05/1961",0,NA,31.5,NA,NA,1.8,25.26,84,0.666667,NA
"265",83309,"13/05/1961",1200,1.3,NA,21.5,NA,NA,NA,NA,NA,NA
"266",83309,"14/05/1961",0,NA,32.5,NA,NA,1.7,24.66,81.75,0.666667,NA
"267",83309,"14/05/1961",1200,4.8,NA,21.7,NA,NA,NA,NA,NA,NA
"268",83309,"15/05/1961",0,NA,32.2,NA,NA,2.7,24.78,73,2,NA
"269",83309,"15/05/1961",1200,0,NA,19.7,NA,NA,NA,NA,NA,NA
"270",83309,"16/05/1961",0,NA,32.3,NA,NA,4.4,24.7,76.5,0.666667,NA
"271",83309,"16/05/1961",1200,0,NA,20,NA,NA,NA,NA,NA,NA
"272",83309,"17/05/1961",0,NA,33.3,NA,NA,3.9,25.86,75.25,1.666667,NA
"273",83309,"17/05/1961",1200,0,NA,21.6,NA,NA,NA,NA,NA,NA
"274",83309,"18/05/1961",0,NA,31.4,NA,NA,4,25.28,84.5,3,NA
"275",83309,"18/05/1961",1200,0,NA,22,NA,NA,NA,NA,NA,NA
"276",83309,"19/05/1961",0,NA,26.8,NA,NA,2,23.06,85,3.333333,NA
"277",83309,"19/05/1961",1200,0,NA,21.7,NA,NA,NA,NA,NA,NA
"278",83309,"20/05/1961",0,NA,25.6,NA,NA,2.2,21.02,77.25,3,NA
"279",83309,"20/05/1961",1200,0.6,NA,18.5,NA,NA,NA,NA,NA,NA
"280",83309,"21/05/1961",0,NA,30.6,NA,NA,2,22.62,81.25,1.333333,NA
"281",83309,"21/05/1961",1200,0,NA,16.8,NA,NA,NA,NA,NA,NA
"282",83309,"22/05/1961",0,NA,33.9,NA,NA,2.5,24.52,79.25,0,NA
"283",83309,"22/05/1961",1200,0,NA,18.5,NA,NA,NA,NA,NA,NA
"284",83309,"23/05/1961",0,NA,31.6,NA,NA,2.6,24.4,83.25,0,NA
"285",83309,"23/05/1961",1200,0,NA,19.7,NA,NA,NA,NA,NA,NA
"286",83309,"24/05/1961",0,NA,32.6,NA,NA,2.3,24.46,82.5,1.666667,NA
"287",83309,"24/05/1961",1200,2.5,NA,20.1,NA,NA,NA,NA,NA,NA
"288",83309,"25/05/1961",0,NA,32.7,NA,NA,3.1,23.62,76,0.333333,NA
"289",83309,"25/05/1961",1200,0,NA,19,NA,NA,NA,NA,NA,NA
"290",83309,"26/05/1961",0,NA,32.4,NA,NA,3.6,22.54,70.75,0,NA
"291",83309,"26/05/1961",1200,0,NA,15.7,NA,NA,NA,NA,NA,NA
"292",83309,"27/05/1961",0,NA,32.6,NA,NA,3.5,22.14,73.75,1.666667,NA
"293",83309,"27/05/1961",1200,0,NA,16,NA,NA,NA,NA,NA,NA
"294",83309,"28/05/1961",0,NA,32,NA,NA,4.2,21.92,71.5,0.333333,NA
"295",83309,"28/05/1961",1200,0,NA,16.2,NA,NA,NA,NA,NA,NA
